底表行,序号,医院,姓名,来源链接,列名,修改前,修改后
681,680,中山大学肿瘤防治中心,陈徐贤,https://www.sysucc.org.cn/node/3774,亮眼经历线索,副主任医师 临床专家 面包屑 首页 / 临床科室 / 内科系列 / 中医科 / 临床专家 陈徐贤 职称：副主任医师 专长 肿瘤中医治疗 医疗专长：肿瘤中医治疗 医疗经历:1988年毕业于广州中医药大学中医医疗系，获医学学士学位。,副主任医师 陈徐贤 职称：副主任医师 专长 肿瘤中医治疗 医疗专长：肿瘤中医治疗 医疗经历:1988年毕业于广州中医药大学中医医疗系，获医学学士学位。
681,680,中山大学肿瘤防治中心,陈徐贤,https://www.sysucc.org.cn/node/3774,异常提示,,亮眼经历含导航文本，已清洗
682,681,中山大学肿瘤防治中心,黄国贤,https://www.sysucc.org.cn/node/3775,亮眼经历线索,"主任医师 临床专家 面包屑 首页 / 临床科室 / 内科系列 / 中医科 / 临床专家 黄国贤 职称：主任医师 专长 各种肿瘤疾病的中医治疗和研究 一、基本情况 职称：主任医师 职务： 专家门诊时间： 周三上午； 二、学习及工作经历： 1985年—1990年：广州中医学院就读 1990年至今：中山大学肿瘤医院中医科 加载更多 1966年12月生, 毕业于广州中医药大学医疗系,现为中医科主任医师。","主任医师 黄国贤 职称：主任医师 专长 各种肿瘤疾病的中医治疗和研究 一、基本情况 职称：主任医师 职务： 专家门诊时间： 周三上午； 二、学习及工作经历： 1985年—1990年：广州中医学院就读 1990年至今：中山大学肿瘤医院中医科 1966年12月生, 毕业于广州中医药大学医疗系,现为中医科主任医师。"
682,681,中山大学肿瘤防治中心,黄国贤,https://www.sysucc.org.cn/node/3775,异常提示,,亮眼经历含导航文本，已清洗
683,682,中山大学肿瘤防治中心,黄圆圆,https://www.sysucc.org.cn/node/3769,亮眼经历线索,科副主任、主诊教授 职称：主任医师 临床专家 面包屑 首页 / 临床科室 / 内科系列 / 中医科 / 临床专家 黄圆圆 职务：科副主任、主诊教授 职称：主任医师 专长 恶性肿瘤的中医及中西医结合治疗。 一、基本情况 中山大学肿瘤防治中心综合中医科行政副主任，中山大学肿瘤防治中心中西医结合研究中心常务副主任，主任医师，主诊教授，医学博士，硕士生导师。 师从全国名老中医药专家、广东省名中医、中大名医张蓓教授，从事中医及中西医结合防治肿瘤的临床及科研工作近20年，在中医及中西医结合防治恶性肿瘤专业领域积累了丰富经验。,科副主任、主诊教授 职称：主任医师 黄圆圆 职务：科副主任、主诊教授 职称：主任医师 专长 恶性肿瘤的中医及中西医结合治疗。 一、基本情况 中山大学肿瘤防治中心综合中医科行政副主任，中山大学肿瘤防治中心中西医结合研究中心常务副主任，主任医师，主诊教授，医学博士，硕士生导师。 师从全国名老中医药专家、广东省名中医、中大名医张蓓教授，从事中医及中西医结合防治肿瘤的临床及科研工作近20年，在中医及中西医结合防治恶性肿瘤专业领域积累了丰富经验。
683,682,中山大学肿瘤防治中心,黄圆圆,https://www.sysucc.org.cn/node/3769,异常提示,,亮眼经历含导航文本，已清洗
684,683,中山大学肿瘤防治中心,黄金圣,https://www.sysucc.org.cn/node/3779,亮眼经历线索,副主任医师 临床专家 面包屑 首页 / 临床科室 / 内科系列 / 中医科 / 临床专家 黄金圣 职称：副主任医师 专长 肿瘤的中医及中西医结合治疗。 一、基本情况 副主任医师 出诊时间：每周二下午（黄埔院区） 每周四下午（越秀院区） 专业特长：师从中山大学名医、全国名老中医、广东省名中医张蓓教授，是张蓓教授传承工作室主要成员。 发表科研论文40余篇，其中第一作者和通讯作者SCI论文近20篇。,副主任医师 黄金圣 职称：副主任医师 专长 肿瘤的中医及中西医结合治疗。 一、基本情况 副主任医师 出诊时间：每周二下午（黄埔院区） 每周四下午（越秀院区） 专业特长：师从中山大学名医、全国名老中医、广东省名中医张蓓教授，是张蓓教授传承工作室主要成员。 发表科研论文40余篇，其中第一作者和通讯作者SCI论文近20篇。
684,683,中山大学肿瘤防治中心,黄金圣,https://www.sysucc.org.cn/node/3779,异常提示,,亮眼经历含导航文本，已清洗
685,684,中山大学肿瘤防治中心,医学教育,https://www.sysucc.org.cn/taxonomy/term/267,亮眼经历线索,住院医师规范化培训 面包屑 首页 / 医学教育 / 住院医师规范化培训 医学教育 教学动态 规章制度 资料下载 进修教育 医学教育系统 护士进修/实习申请 住院医师规范化培训 师德师风建设 临床技能培训中心 中山大学肿瘤防治中心2025年住院医师规范化培训招收简章 一、中心介绍 中山大学肿瘤防治中心成立于1964年3月，是新中国成立最早的四所肿瘤医院之一，是全国规模最大、学术力量最雄厚的集医疗、教学、科研、预防于一体的肿瘤学基地之一。 中心现设有越秀、黄埔两个院区，天河院区正在建设，实际开放病床数2239张（越秀院区1556张，黄埔院区683张），门、急诊量187.7万余人次，年住院量达18.5万人次，医疗业务量居全国肿瘤专科医院前列。 近五年，逾72项来自临床一线的研究成果得到国际公认，被全球肿瘤诊疗标准与指南采用。 赋能全省住培骨干师资成长，中肿这样做 11-28 2024 【政策宣传】住院医师规范化培训“两个同等对待...,医学教育 教学动态 规章制度 资料下载 进修教育 医学教育系统 护士进修/实习申请 住院医师规范化培训 师德师风建设 临床技能培训中心 中山大学肿瘤防治中心2025年住院医师规范化培训招收简章 一、中心介绍 中山大学肿瘤防治中心成立于1964年3月，是新中国成立最早的四所肿瘤医院之一，是全国规模最大、学术力量最雄厚的集医疗、教学、科研、预防于一体的肿瘤学基地之一。 中心现设有越秀、黄埔两个院区，天河院区正在建设，实际开放病床数2239张（越秀院区1556张，黄埔院区683张），门、急诊量187.7万余人次，年住院量达18.5万人次，医疗业务量居全国肿瘤专科医院前列。 近五年，逾72项来自临床一线的研究成果得到国际公认，被全球肿瘤诊疗标准与指南采用。
685,684,中山大学肿瘤防治中心,医学教育,https://www.sysucc.org.cn/taxonomy/term/267,异常提示,,亮眼经历含导航文本，已清洗
687,686,中山大学肿瘤防治中心,吴锡文,https://www.sysucc.org.cn/node/12740,亮眼经历线索,副主任医师 临床专家 面包屑 首页 / 临床科室 / 平台科室 / 临床营养科 / 临床专家 吴锡文 职称：副主任医师 专长 肿瘤患者围手术期及放化疗期间营养支持治疗与膳食指导。 一、基本情况 医学博士，博士后，副主任医师。 二、教育及工作经历 2010.09-2015.06：中山大学中山医学院 学士 2015.08-2018.06：中山大学肿瘤防治中心 硕士 2018.09-2021.06：中山大学附属第一医院 博士 2021.07-2024.12：中山大学肿瘤防治中心 住院医师 2024.12-2025.12：中山大学肿瘤防治中心 主治医师 2025.12-至今：中山大学肿瘤防治中心 副主任医师 三、学术兼职 广东省基层医药学会消化道肿瘤防治专业委员会第一届常务委员。,副主任医师 吴锡文 职称：副主任医师 专长 肿瘤患者围手术期及放化疗期间营养支持治疗与膳食指导。 一、基本情况 医学博士，博士后，副主任医师。 二、教育及工作经历 2010.09-2015.06：中山大学中山医学院 学士 2015.08-2018.06：中山大学肿瘤防治中心 硕士 2018.09-2021.06：中山大学附属第一医院 博士 2021.07-2024.12：中山大学肿瘤防治中心 住院医师 2024.12-2025.12：中山大学肿瘤防治中心 主治医师 2025.12-至今：中山大学肿瘤防治中心 副主任医师 三、学术兼职 广东省基层医药学会消化道肿瘤防治专业委员会第一届常务委员。
687,686,中山大学肿瘤防治中心,吴锡文,https://www.sysucc.org.cn/node/12740,异常提示,,亮眼经历含导航文本，已清洗
689,688,中山大学肿瘤防治中心,"《PLoS ONE》2011 IF4.8） 2.High Expression of p300 in Human Breast Cancer Correlates with Tumor Recurrence and Predicts Patients Adverse Prognosis （杂志名称：Chinese Journal of Cancer Research 2011 IF0.59） 3.Targeted Expression of BikDD Eliminates Breast Cancer with Virtually No Toxicity in Noninvasive Imaging Models. （杂志名称：Mol Cancer Ther 2012 IF 5.22） 4.Simultaneous modulation of COX-2, p300, Akt, and Apaf-1signaling by melatonin to inhibit proliferation and induceapoptosis in breast cancer cells （杂志名称：Journal of Pineal Research 2012 IF 5.79） 5.Melatoninsuppressesproinflammatory mediators in lipopolysaccharide-stimulated CRL1999 cells via targeting MAPK, NF-jB, c/EBPb, and p300 signaling （杂志名称：Journal of Pineal Research 2012 IF 5.79） 6.青年乳腺癌209例生存分析 (杂志名称：中国医师进修杂志2010) 7.超声刀在乳腺癌改良根治术中的应用 (杂志名称：实用医学杂志2010) 更新时间：2014.5.13",https://www.sysucc.org.cn/node/3741,亮眼经历线索,乳腺科秘书 职称：主任医师、硕士生导师 临床专家 面包屑 首页 / 临床科室 / 外科系列 / 乳腺科 / 临床专家 肖祥胜 职务：乳腺科秘书 职称：主任医师、硕士生导师 专长 乳腺癌的诊治 一、 基本情况 职称：主任医师、硕士生导师 职务：乳腺科秘书 专家门诊时间：周一、三、四上午 本人工作20多年来，熟悉了解目前国际上乳腺肿瘤的临床和研究动态，对乳腺癌的诊治有丰富的临床经验。 200万，2011-2014. 4.参与Ap-2B/hTERT在肺癌发生发展中的作用机理及临床意义 国家自然基金面上项目：31万，2010-2013 加载更多 一、 基本情况 职称：主任医师、硕士生导师 职务：乳腺科秘书 专家门诊时间：周一、三、四上午 本人工作20多年来，熟悉了解目前国际上乳腺肿瘤的临床和研究动态，对乳腺癌的诊治有丰富的临床经验。 200万，2011-2014. 4.参与Ap-2B/hTERT在肺癌发生发展中的作用机理及临床意义...,乳腺科秘书 职称：主任医师、硕士生导师 肖祥胜 职务：乳腺科秘书 职称：主任医师、硕士生导师 专长 乳腺癌的诊治 一、 基本情况 职称：主任医师、硕士生导师 职务：乳腺科秘书 专家门诊时间：周一、三、四上午 本人工作20多年来，熟悉了解目前国际上乳腺肿瘤的临床和研究动态，对乳腺癌的诊治有丰富的临床经验。 200万，2011-2014. 4.参与Ap-2B/hTERT在肺癌发生发展中的作用机理及临床意义 国家自然基金面上项目：31万，2010-2013 一、 基本情况 职称：主任医师、硕士生导师 职务：乳腺科秘书 专家门诊时间：周一、三、四上午 本人工作20多年来，熟悉了解目前国际上乳腺肿瘤的临床和研究动态，对乳腺癌的诊治有丰富的临床经验。
689,688,中山大学肿瘤防治中心,"《PLoS ONE》2011 IF4.8） 2.High Expression of p300 in Human Breast Cancer Correlates with Tumor Recurrence and Predicts Patients Adverse Prognosis （杂志名称：Chinese Journal of Cancer Research 2011 IF0.59） 3.Targeted Expression of BikDD Eliminates Breast Cancer with Virtually No Toxicity in Noninvasive Imaging Models. （杂志名称：Mol Cancer Ther 2012 IF 5.22） 4.Simultaneous modulation of COX-2, p300, Akt, and Apaf-1signaling by melatonin to inhibit proliferation and induceapoptosis in breast cancer cells （杂志名称：Journal of Pineal Research 2012 IF 5.79） 5.Melatoninsuppressesproinflammatory mediators in lipopolysaccharide-stimulated CRL1999 cells via targeting MAPK, NF-jB, c/EBPb, and p300 signaling （杂志名称：Journal of Pineal Research 2012 IF 5.79） 6.青年乳腺癌209例生存分析 (杂志名称：中国医师进修杂志2010) 7.超声刀在乳腺癌改良根治术中的应用 (杂志名称：实用医学杂志2010) 更新时间：2014.5.13",https://www.sysucc.org.cn/node/3741,异常提示,,亮眼经历含导航文本，已清洗
690,689,中山大学肿瘤防治中心,刘鹏,https://www.sysucc.org.cn/node/3742,亮眼经历线索,主任医师，主诊教授，肿瘤学博士，硕士生导师 三、科研成果： 以第一 / 通讯作者发表国际 SCI 论著 20 余篇（单篇 IF 最高 37 分），主持及参与国家自然科学基金 3 项、广东省自然科学基金 2 项、广东省科技计划项目 1 项。 临床专家 面包屑 首页 / 临床科室 / 外科系列 / 乳腺科 / 临床专家 刘鹏 职称：主任医师，主诊教授，肿瘤学博士，硕士生导师 专长 乳腺癌的手术治疗、化疗和靶向治疗。 一、基本情况 刘鹏，中山大学肿瘤医院乳腺科主诊教授，主任医师，肿瘤学博士，硕士生导师，获第二届 “广东实力中青年医生”称号，中国肿瘤微创治疗专业委员会乳腺学组委员，广东省抗癌协会乳腺癌专业委员会常委，广东省精准医学应用学会乳腺肿瘤分会常委，广东省医学会肿瘤学分会乳腺学组委员，广东省医院协会肿瘤生物治疗委员会委员。,主任医师，主诊教授，肿瘤学博士，硕士生导师 三、科研成果： 以第一 / 通讯作者发表国际 SCI 论著 20 余篇（单篇 IF 最高 37 分），主持及参与国家自然科学基金 3 项、广东省自然科学基金 2 项、广东省科技计划项目 1 项。 刘鹏 职称：主任医师，主诊教授，肿瘤学博士，硕士生导师 专长 乳腺癌的手术治疗、化疗和靶向治疗。 一、基本情况 刘鹏，中山大学肿瘤医院乳腺科主诊教授，主任医师，肿瘤学博士，硕士生导师，获第二届 “广东实力中青年医生”称号，中国肿瘤微创治疗专业委员会乳腺学组委员，广东省抗癌协会乳腺癌专业委员会常委，广东省精准医学应用学会乳腺肿瘤分会常委，广东省医学会肿瘤学分会乳腺学组委员，广东省医院协会肿瘤生物治疗委员会委员。
690,689,中山大学肿瘤防治中心,刘鹏,https://www.sysucc.org.cn/node/3742,异常提示,,亮眼经历含导航文本，已清洗
691,690,中山大学肿瘤防治中心,双泽宇,https://www.sysucc.org.cn/node/3746,亮眼经历线索,副主任医师，硕士生导师，肿瘤学博士 二、社会兼职 中国抗癌协会肿瘤微创治疗专委会乳腺学组委员，中国早期乳腺癌辅助内分泌治疗生活质量协作组青年委员，广东省精准医学应用学会乳腺肿瘤分会常务委员，广东省肿瘤性疾病医疗质量控制中心乳腺癌专家委员会委员，中山大学肿瘤防治中心乳腺癌MDT团队成员，于汕头市中心医院下沉帮扶半年，挂职乳腺疾病诊疗中心副主任。 三、学术成果 主持及参与国家自然科学基金4项，广东省自然科学基金2项，发表国际期刊SCI论文二十余篇，担任多个SCI杂志编委和审稿。 临床专家 面包屑 首页 / 临床科室 / 外科系列 / 乳腺科 / 临床专家 双泽宇 职称：副主任医师，硕士生导师，肿瘤学博士 专长 乳腺癌外科治疗，腔镜微创手术，包括根治术、保乳保腋窝、腔镜重建、腔镜保乳、乳房整形修复等，完成超两千台手术；,副主任医师，硕士生导师，肿瘤学博士 二、社会兼职 中国抗癌协会肿瘤微创治疗专委会乳腺学组委员，中国早期乳腺癌辅助内分泌治疗生活质量协作组青年委员，广东省精准医学应用学会乳腺肿瘤分会常务委员，广东省肿瘤性疾病医疗质量控制中心乳腺癌专家委员会委员，中山大学肿瘤防治中心乳腺癌MDT团队成员，于汕头市中心医院下沉帮扶半年，挂职乳腺疾病诊疗中心副主任。 三、学术成果 主持及参与国家自然科学基金4项，广东省自然科学基金2项，发表国际期刊SCI论文二十余篇，担任多个SCI杂志编委和审稿。 双泽宇 职称：副主任医师，硕士生导师，肿瘤学博士 专长 乳腺癌外科治疗，腔镜微创手术，包括根治术、保乳保腋窝、腔镜重建、腔镜保乳、乳房整形修复等，完成超两千台手术；
691,690,中山大学肿瘤防治中心,双泽宇,https://www.sysucc.org.cn/node/3746,异常提示,,亮眼经历含导航文本，已清洗
693,692,中山大学肿瘤防治中心,吴浩,https://www.sysucc.org.cn/node/8129,亮眼经历线索,"副主任医师 临床专家 面包屑 首页 / 临床科室 / 外科系列 / 乳腺科 / 临床专家 吴浩 职称：副主任医师 专长 乳腺癌自体组织乳房重建、保乳整形。 一、基本情况 职称：副主任医师 二、教育及工作经历 2017年-2019年获得国家公派至美国弗吉尼亚大学联合培养 2019年毕业于中南大学，获得外科学博士学位 2011年毕业于中南大学，获得临床医学学士学位 三、学术兼职 广东省抗癌协会肿瘤整形外科委员会委员 广东省精准医学应用学会乳腺肿瘤分会委员 四、主持科研项目 主持国家自然科学基金青年科学基金1项 主持广东省基础与应用基础研究基金自然科学基金面上项目1项 五、代表性论著 1 、 Luo Y, Tian W, Kang D, Wu L, Tang H, Wang S, Zhang C, Xie Y, Zhang Y, Xie J, Deng X, Zou H, Wu H , Lin H, Wei W. RNA mod...","副主任医师 吴浩 职称：副主任医师 专长 乳腺癌自体组织乳房重建、保乳整形。 一、基本情况 职称：副主任医师 二、教育及工作经历 2017年-2019年获得国家公派至美国弗吉尼亚大学联合培养 2019年毕业于中南大学，获得外科学博士学位 2011年毕业于中南大学，获得临床医学学士学位 三、学术兼职 广东省抗癌协会肿瘤整形外科委员会委员 广东省精准医学应用学会乳腺肿瘤分会委员 四、主持科研项目 主持国家自然科学基金青年科学基金1项 主持广东省基础与应用基础研究基金自然科学基金面上项目1项 五、代表性论著 1 、 Luo Y, Tian W, Kang D, Wu L, Tang H, Wang S, Zhang C, Xie Y, Zhang Y, Xie J, Deng X, Zou H, Wu H , Lin H, Wei W. RNA mod..."
693,692,中山大学肿瘤防治中心,吴浩,https://www.sysucc.org.cn/node/8129,异常提示,,亮眼经历含导航文本，已清洗
694,693,中山大学肿瘤防治中心,唐军,https://www.sysucc.org.cn/node/3738,亮眼经历线索,"乳腺科主任及支部书记 职称：教授、主任医师、博士生导师 临床专家 面包屑 首页 / 临床科室 / 外科系列 / 乳腺科 / 临床专家 唐军 职务：乳腺科主任及支部书记 职称：教授、主任医师、博士生导师 专长 乳腺癌综合治疗，整形保乳与重建。 一、一般情况 唐军，肿瘤学博士，中山大学肿瘤防治中心乳腺科教授，主任医师，博士生导师,科室主任及支部书记。 广东省杰出青年医学人才，广东省医师协会“羊城好医生”。","乳腺科主任及支部书记 职称：教授、主任医师、博士生导师 唐军 职务：乳腺科主任及支部书记 职称：教授、主任医师、博士生导师 专长 乳腺癌综合治疗，整形保乳与重建。 一、一般情况 唐军，肿瘤学博士，中山大学肿瘤防治中心乳腺科教授，主任医师，博士生导师,科室主任及支部书记。 广东省杰出青年医学人才，广东省医师协会“羊城好医生”。"
694,693,中山大学肿瘤防治中心,唐军,https://www.sysucc.org.cn/node/3738,异常提示,,亮眼经历含导航文本，已清洗
696,695,中山大学肿瘤防治中心,李宁,https://www.sysucc.org.cn/node/3748,亮眼经历线索,"副主任医师、硕士生导师、医学博士 临床专家 面包屑 首页 / 临床科室 / 外科系列 / 乳腺科 / 临床专家 李宁 职称：副主任医师、硕士生导师、医学博士 专长 乳腺癌根治性手术、保乳手术、前哨淋巴结活检术（保腋窝术）、乳房整形重建术（假体植入等），乳腺良性肿物切除术。 一、基本情况 职称：中山大学肿瘤防治中心乳腺科副主任医师，硕士生导师，中山大学医学博士。 以第一/共一作者在Annals of Oncology, eClinicalMedicine和Cell Death & Differentiation等杂志发表论文20余篇，主持多项国家级、市级、和校级基金。","副主任医师、硕士生导师、医学博士 李宁 职称：副主任医师、硕士生导师、医学博士 专长 乳腺癌根治性手术、保乳手术、前哨淋巴结活检术（保腋窝术）、乳房整形重建术（假体植入等），乳腺良性肿物切除术。 一、基本情况 职称：中山大学肿瘤防治中心乳腺科副主任医师，硕士生导师，中山大学医学博士。 以第一/共一作者在Annals of Oncology, eClinicalMedicine和Cell Death & Differentiation等杂志发表论文20余篇，主持多项国家级、市级、和校级基金。"
696,695,中山大学肿瘤防治中心,李宁,https://www.sysucc.org.cn/node/3748,异常提示,,亮眼经历含导航文本，已清洗
