hospital,profile_path,source_link,master_row_number,master_name,marker_occurrences,carrier_line_numbers,carrier_sections,non_detail_carrier,owner_atypical_profile_case
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/刘洋.md,https://www.sysucc.org.cn/node/1723,892,刘洋,1,52,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/刘澍.md,https://www.sysucc.org.cn/node/6423,1138,刘澍,1,53,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/刘睿奇.md,https://www.sysucc.org.cn/node/6216,893,刘睿奇,1,53,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/刘立志.md,https://www.sysucc.org.cn/node/3841,826,刘立志,1,50,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/刘纹.md,https://www.sysucc.org.cn/node/3887,959,刘纹,1,48,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/医学教育.md,https://www.sysucc.org.cn/taxonomy/term/267,685,医学教育,2,38;45,## 教育与进修经历;## 科研项目与成果,YES,YES
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/卓水清.md,https://www.sysucc.org.cn/node/3852,827,卓水清,1,53,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/卢雅立.md,https://www.sysucc.org.cn/node/3829,862,卢雅立,2,36;56,## 简介/擅长;## 证据摘录,YES,YES
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/危文素.md,https://www.sysucc.org.cn/node/8772,978,危文素,1,44,## 教育与进修经历,YES,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/史艳侠.md,https://www.sysucc.org.cn/node/1477,719,史艳侠,1,55,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/叶伟军.md,https://www.sysucc.org.cn/node/1689,897,叶伟军,1,57,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/叶文锋.md,https://www.sysucc.org.cn/node/3927,686,叶文锋,1,54,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/叶锋.md,https://www.sysucc.org.cn/node/6565,692,叶锋,1,48,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/向燕群.md,https://www.sysucc.org.cn/node/1530,1194,向燕群,1,55,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/吕星.md,https://www.sysucc.org.cn/node/1642,1195,吕星,1,54,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/吕衍春.md,https://www.sysucc.org.cn/node/3839,842,吕衍春,1,58,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/吴兴平.md,https://www.sysucc.org.cn/node/3878,960,吴兴平,1,50,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/吴志明.md,https://www.sysucc.org.cn/node/3730,980,吴志明,1,56,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/吴沛宏.md,https://www.sysucc.org.cn/node/3750,844,吴沛宏,1,51,## 教育与进修经历,YES,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/吴秉毅.md,https://www.sysucc.org.cn/node/3793,1145,吴秉毅,1,60,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/吴秋良.md,https://www.sysucc.org.cn/node/3859,1013,吴秋良,1,61,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/周冠群.md,https://www.sysucc.org.cn/node/1718,900,周冠群,2,43;47,## 科研项目与成果;## 论文与学术产出,YES,YES
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/周建华.md,https://www.sysucc.org.cn/node/3894,1160,周建华,1,52,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/周志伟.md,https://www.sysucc.org.cn/node/3654,1094,周志伟,1,51,## 教育与进修经历,YES,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/唐京华.md,https://www.sysucc.org.cn/node/3689,1049,唐京华,1,51,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/唐林泉.md,https://www.sysucc.org.cn/node/1650,1196,唐林泉,1,55,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/唐玲珑.md,https://www.sysucc.org.cn/node/1677,901,唐玲珑,1,52,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/夏建川.md,https://www.sysucc.org.cn/node/3781,995,夏建川,1,61,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/夏良平.md,https://www.sysucc.org.cn/node/3763,1067,夏良平,1,59,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/夏雯.md,https://www.sysucc.org.cn/node/1506,724,夏雯,1,44,## 教育与进修经历,YES,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/姜武.md,https://www.sysucc.org.cn/node/3688,1050,姜武,1,52,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/娄宁.md,https://www.sysucc.org.cn/node/3809,1173,娄宁,1,56,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/孔亚楠.md,https://www.sysucc.org.cn/node/3745,695,孔亚楠,1,56,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/孙鹏.md,https://www.sysucc.org.cn/node/1513,725,孙鹏,1,58,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/安欣.md,https://www.sysucc.org.cn/node/1503,726,安欣,1,54,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/宋明.md,https://www.sysucc.org.cn/node/3596,790,宋明,1,52,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/宋远斌.md,https://www.sysucc.org.cn/node/6470,1147,宋远斌,2,47;53,## 教育与进修经历;## 科研项目与成果,YES,YES
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/尧凯.md,https://www.sysucc.org.cn/node/3724,982,尧凯,1,49,## 教育与进修经历,YES,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/廖振尔.md,https://www.sysucc.org.cn/node/3941,823,廖振尔,1,51,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/张丽媛.md,https://www.sysucc.org.cn/node/3902,1161,张丽媛,1,60,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/张伟光.md,https://www.sysucc.org.cn/node/3892,952,张伟光,1,48,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/张兰军.md,https://www.sysucc.org.cn/node/7371,1116,张兰军,1,58,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/张卫东.md,https://www.sysucc.org.cn/node/3842,829,张卫东,1,50,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/张嵘.md,https://www.sysucc.org.cn/node/3837,830,张嵘,1,60,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/张志凌.md,https://www.sysucc.org.cn/node/3726,983,张志凌,1,45,## 教育与进修经历,YES,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/张惠忠.md,https://www.sysucc.org.cn/node/3857,1016,张惠忠,1,63,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/张星.md,https://www.sysucc.org.cn/node/3783,996,张星,1,56,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/张琳.md,https://www.sysucc.org.cn/node/3883,961,张琳 学历 /学位： 博士（肿瘤学） Department （,1,44,## 教育与进修经历,YES,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/张福君.md,https://www.sysucc.org.cn/node/3752,847,张福君,1,60,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/张耀军.md,https://www.sysucc.org.cn/node/3640,1078,张耀军,1,56,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/张荣欣.md,https://www.sysucc.org.cn/node/3684,1052,张荣欣,1,52,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/张蓓.md,https://www.sysucc.org.cn/node/3773,674,张蓓,1,68,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/张迎春.md,https://www.sysucc.org.cn/node/3866,1017,张迎春,1,48,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/彭瑞清.md,https://www.sysucc.org.cn/node/3786,998,彭瑞清,1,43,## 教育与进修经历,YES,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/徐瑞华.md,https://www.sysucc.org.cn/node/1473,732,徐瑞华,1,56,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/徐骋.md,https://www.sysucc.org.cn/node/1716,907,徐骋,1,46,## 教育与进修经历,YES,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/戎铁华.md,https://www.sysucc.org.cn/node/4663,1118,戎铁华,1,54,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/房财富.md,https://www.sysucc.org.cn/node/6552,1140,房财富,1,55,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/文习之.md,https://www.sysucc.org.cn/node/3791,999,文习之,1,51,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/朱佳.md,https://www.sysucc.org.cn/node/3802,708,朱佳,1,42,## 教育与进修经历,YES,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/李丹丹.md,https://www.sysucc.org.cn/node/3788,1000,李丹丹,1,50,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/李伟.md,https://www.sysucc.org.cn/node/3818,865,李伟,1,61,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/李健沛.md,https://www.sysucc.org.cn/node/3885,963,李健沛,1,48,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/李力人.md,https://www.sysucc.org.cn/node/3678,1054,李力人,1,52,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/李原.md,https://www.sysucc.org.cn/node/5967,1055,李原,1,59,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/李婧婧.md,https://www.sysucc.org.cn/node/5060,1001,李婧婧,1,51,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/李小东.md,https://www.sysucc.org.cn/node/3622,1120,李小东,1,53,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/李欢.md,https://www.sysucc.org.cn/node/12823,1177,李欢,1,52,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/李疆.md,https://www.sysucc.org.cn/node/3784,1002,李疆,1,52,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/李秋梨.md,https://www.sysucc.org.cn/node/3604,792,李秋梨,1,57,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/李立.md,https://www.sysucc.org.cn/node/3840,832,李立,1,51,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/李艳红.md,https://www.sysucc.org.cn/node/3943,1184,李艳红,1,51,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/李艳芳.md,https://www.sysucc.org.cn/node/3693,810,李艳芳,1,55,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/杨浩贤 学位： 肿瘤学博士 行政职务： 胸科 主任.md,https://www.sysucc.org.cn/node/3612,1123,杨浩贤 学位： 肿瘤学博士 行政职务： 胸科 主任,1,55,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/杨琦.md,https://www.sysucc.org.cn/node/6351,1200,杨琦,1,54,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/林俊忠.md,https://www.sysucc.org.cn/node/3683,1057,林俊忠,1,53,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/林僖.md,https://www.sysucc.org.cn/node/3895,1164,林僖,1,51,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/林文前.md,https://www.sysucc.org.cn/node/3819,868,林文前,1,56,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/林月好.md,https://www.sysucc.org.cn/node/3876,964,林月好,1,48,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/林桐榆.md,https://www.sysucc.org.cn/node/1487,738,林桐榆,1,55,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/林鹏.md,https://www.sysucc.org.cn/node/3610,1125,林鹏,1,55,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/梁建中.md,https://www.sysucc.org.cn/node/3868,1022,梁建中,1,48,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/梁洋.md,https://www.sysucc.org.cn/node/3792,1152,梁洋,1,58,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/梁蔚婷.md,https://www.sysucc.org.cn/node/3926,1141,梁蔚婷,1,55,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/梁虎.md,https://www.sysucc.org.cn/node/1649,1201,梁虎,1,55,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/樊卫.md,https://www.sysucc.org.cn/node/3890,954,樊卫,1,67,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/池沛冬.md,https://www.sysucc.org.cn/node/3882,965,池沛冬,1,50,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/沈露俊.md,https://www.sysucc.org.cn/node/3760,852,沈露俊,1,55,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/沈静娴.md,https://www.sysucc.org.cn/node/3843,834,沈静娴,1,50,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/洪若熙.md,https://www.sysucc.org.cn/node/1508,742,洪若熙,1,43,## 教育与进修经历,YES,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/温丽丽.md,https://www.sysucc.org.cn/node/3832,870,温丽丽,2,42;47,## 科研项目与成果;## 论文与学术产出,YES,YES
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/潘志忠.md,https://www.sysucc.org.cn/node/3676,1058,潘志忠,1,60,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/潘求忠.md,https://www.sysucc.org.cn/node/3790,1004,潘求忠,1,51,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/熊震充.md,https://www.sysucc.org.cn/node/8487,700,熊震充,1,51,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/王俊.md,https://www.sysucc.org.cn/node/3653,1109,王俊,1,41,## 教育与进修经历,YES,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/王俏镟.md,https://www.sysucc.org.cn/node/6461,919,王俏镟,1,44,## 教育与进修经历,YES,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/王华.md,https://www.sysucc.org.cn/node/3796,1153,王华,1,51,## 科研项目与成果,YES,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/王建伟.md,https://www.sysucc.org.cn/node/3903,1165,王建伟,1,51,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/王志强.md,https://www.sysucc.org.cn/node/1498,746,王志强,1,52,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/王思愚.md,https://www.sysucc.org.cn/node/3613,1128,王思愚,1,59,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/王旭东.md,https://www.sysucc.org.cn/node/3826,873,王旭东,1,53,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/王欣.md,https://www.sysucc.org.cn/node/3614,1129,王欣,1,56,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/王瑾.md,https://www.sysucc.org.cn/node/3743,702,王瑾,1,56,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/王翦.md,https://www.sysucc.org.cn/node/3709,1036,王翦,1,49,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/王雪萍.md,https://www.sysucc.org.cn/node/13430,966,王雪萍,1,48,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/王韵.md,https://www.sysucc.org.cn/node/3797,1155,王韵,1,50,## 科研项目与成果,YES,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/田丽.md,https://www.sysucc.org.cn/node/3851,835,田丽,1,50,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/石明.md,https://www.sysucc.org.cn/node/3635,1084,石明,1,53,## 科研项目与成果,YES,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/祝喻甲.md,https://www.sysucc.org.cn/node/1700,921,祝喻甲,1,53,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/罗孔嘉.md,https://www.sysucc.org.cn/node/3627,1130,罗孔嘉,1,52,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/罗敏.md,https://www.sysucc.org.cn/node/12181,967,罗敏,2,39;43,## 教育与进修经历;## 科研项目与成果,YES,YES
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/罗耀凌.md,https://www.sysucc.org.cn/node/3881,968,罗耀凌,1,48,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/翁德胜.md,https://www.sysucc.org.cn/node/3785,1005,翁德胜,1,54,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/肖永波.md,https://www.sysucc.org.cn/node/3873,1024,肖永波,1,48,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/胡丹旦.md,https://www.sysucc.org.cn/node/3646,1085,胡丹旦,1,50,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/胡永红.md,https://www.sysucc.org.cn/node/1671,925,胡永红,1,46,## 教育与进修经历,YES,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/胡祎.md,https://www.sysucc.org.cn/node/3621,1131,胡祎,1,52,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/苏晓东.md,https://www.sysucc.org.cn/node/3619,1132,苏晓东,1,54,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/范卫君.md,https://www.sysucc.org.cn/node/3753,853,范卫君,1,53,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/范腾.md,https://www.sysucc.org.cn/node/8022,678,范腾,1,45,## 教育与进修经历,YES,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/董军.md,https://www.sysucc.org.cn/node/6448,1071,董军,1,52,## 详情正文摘录,NO,NO
中山大学肿瘤防治中心,医生画像仓库/01_试点医院/中山大学肿瘤防治中心/董培.md,https://www.sysucc.org.cn/node/3728,988,董培,1,63,## 详情正文摘录,NO,NO
