姓名,来源链接,状态,失败三态,照片链接,照片文件,字节数,SHA-256,魔数,宽,高,错误证据
梁慕筠,https://www.gzszyy.com/expert/2026/oQeZ0Ebp.html,实采,,https://oss.gzszyy.com/20201013/152355143.jpg,01_试点医院/广州市中医院/照片/梁慕筠-名医堂-主任医师-广州市中医院.jpg,225576,c99fffda17e80a27ab258235df6c00eab4e1a1086d81cd45d87ec561e562aa62,FFD8FFE10E60457869660000,1152,1600,
吴薏婷,https://www.gzszyy.com/expert/2026/4zbqjrdp.html,实采,,https://oss.gzszyy.com/20200928/085458549.jpg,01_试点医院/广州市中医院/照片/吴薏婷-肿瘤一区-主任中医师-广州市中医院.jpg,279273,ca9bcb32a766027a1b1dd238d1216ba4791a41ea93ba88c90cbe277cb63f3ea5,FFD8FFE11043457869660000,1152,1600,
李金昌,https://www.gzszyy.com/expert/2026/MYer06bO.html,实采,,https://oss.gzszyy.com/20200928/085531862.jpg,01_试点医院/广州市中医院/照片/李金昌-肿瘤一区-主任中医师-广州市中医院.jpg,206527,71e7737b63d4833605a8d2050a72f9fd67fa520b8f65c48977ad399bfbb196cc,FFD8FFE10E8B457869660000,1152,1600,
梁洪江,https://www.gzszyy.com/expert/2026/l9avgrbG.html,实采,,https://oss.gzszyy.com/20200928/085620715.jpg,01_试点医院/广州市中医院/照片/梁洪江-肿瘤一区-副主任中医师-广州市中医院.jpg,209456,53fabf278cf1df4dd52be8450706269bea4e801c491ae63511362fd7b5c5fc5d,FFD8FFE10E7E457869660000,1152,1600,
刘平庄,https://www.gzszyy.com/expert/2026/LDdwjwb1.html,实采,,https://oss.gzszyy.com/20200928/085656185.jpg,01_试点医院/广州市中医院/照片/刘平庄-肿瘤一区-副主任中医师-广州市中医院.jpg,242490,3b00924905dd645bb3cc4c294b29331176040013427d6b43d960d7040a389d89,FFD8FFE10E39457869660000,1152,1600,
罗溢昌,https://www.gzszyy.com/expert/2026/X7axGrey.html,实采,,https://oss.gzszyy.com/20200928/085737644.jpg,01_试点医院/广州市中医院/照片/罗溢昌-肿瘤一区-副主任中医师-广州市中医院.jpg,237963,ec6c2eafa4f3212c98d444c9bbb934051e465921197dc9a001254598fa44b452,FFD8FFE10E4A457869660000,1152,1600,
樊杜英,https://www.gzszyy.com/expert/2026/zPdy8WbQ.html,实采,,https://oss.gzszyy.com/20200928/085828307.jpg,01_试点医院/广州市中医院/照片/樊杜英-肿瘤一区-副主任中医师-广州市中医院.jpg,213141,56c12fbf0f8d1ba1143b9f0ad4ae4885eecd59b12bebfb451140bbd69b6e38ef,FFD8FFE10E63457869660000,1152,1600,
吴彬,https://www.gzszyy.com/expert/2026/xkazm8eJ.html,实采,,https://oss.gzszyy.com/20200928/085913435.jpg,01_试点医院/广州市中医院/照片/吴彬-肿瘤一区-医师-广州市中医院.jpg,234726,04621847ea52619ae16c0170de6cd8cd879a41a35e056eb300f2d4ea369d6430,FFD8FFE10E47457869660000,1152,1600,
林家祎,https://www.gzszyy.com/expert/2026/w9aA87ev.html,实采,,https://oss.gzszyy.com/20250624/152302324.jpg,01_试点医院/广州市中医院/照片/林家祎-肿瘤一区-医师-广州市中医院.jpg,200341,6d13c8206df59f1f33c8cfaf445092b3587b01e0d7d3ce4b032d6cc9e3084f4a,FFD8FFE000104A4649460001,2000,1333,
崔萌萌,https://www.gzszyy.com/expert/2026/YRdGYraD.html,实采,,https://oss.gzszyy.com/20241017/092115428.jpg,01_试点医院/广州市中医院/照片/崔萌萌-肿瘤一区-主任医师-广州市中医院.jpg,89203,fe48a783fc929f4aa49e768fc3670426cf605b84a156703c8bb5e846f4e4edd6,FFD8FFE000104A4649460001,1920,1280,
邓力,https://www.gzszyy.com/expert/2026/olej25ej.html,实采,,https://oss.gzszyy.com/20200928/094223404.jpg,01_试点医院/广州市中医院/照片/邓力-肿瘤二区-主任医师-广州市中医院.jpg,220737,9c5b4d852589092d5116dfe9ee496fff64f00665dc3ccfc0243130923210b37d,FFD8FFE10E17457869660000,1152,1600,
陈庆强,https://www.gzszyy.com/expert/2026/pmbk5Xez.html,实采,,https://oss.gzszyy.com/20200928/094257985.jpg,01_试点医院/广州市中医院/照片/陈庆强-肿瘤二区-副主任中医师-广州市中医院.jpg,226780,31a4c1590dba5e8a1f6f382b3c22d980b529cca64d1ff506749727f8a3c3adb8,FFD8FFE10DA6457869660000,1152,1600,
吴锦燕,https://www.gzszyy.com/expert/2026/Mvbmw0eY.html,实采,,https://oss.gzszyy.com/20200928/094739890.jpg,01_试点医院/广州市中医院/照片/吴锦燕-肿瘤二区-副主任中医师-广州市中医院.jpg,256434,3d01d2bbfae2f414f8cb299c30b5a4b379092af68c541ee46c642f643f869cda,FFD8FFE10F56457869660000,1152,1600,
梁艳菊,https://www.gzszyy.com/expert/2026/openZle7.html,实采,,https://oss.gzszyy.com/20200928/094826395.jpg,01_试点医院/广州市中医院/照片/梁艳菊-肿瘤二区-副主任中医师-广州市中医院.jpg,229940,daae40cf782a025440dbc9600494c75f18331ddc39d6ddfeefd15b0d851fafee,FFD8FFE10E61457869660000,1152,1600,
唐阳,https://www.gzszyy.com/expert/2026/GRb490dB.html,实采,,https://oss.gzszyy.com/20241113/102236460.jpg,01_试点医院/广州市中医院/照片/唐阳-肿瘤二区-副主任中医师-广州市中医院.jpg,187104,de376ebacc38866c4c750e150898022c71933299c0c2652072da81535f5607f9,FFD8FFE000104A4649460001,2000,1333,
林少贞,https://www.gzszyy.com/expert/2026/ELe31Mb6.html,实采,,https://oss.gzszyy.com/20201016/110831802.jpg,01_试点医院/广州市中医院/照片/林少贞-针灸科-主任中医师-广州市中医院.jpg,247360,0d3e956b8063ed352709ac61e007abf4b82cbe4bffc361e91efb0c663d5a8a13,FFD8FFE10EF0457869660000,1152,1600,
陈楚云,https://www.gzszyy.com/expert/2026/5xe73je7.html,实采,,https://oss.gzszyy.com/20200928/101521998.jpg,01_试点医院/广州市中医院/照片/陈楚云-针灸科-主任中医师-广州市中医院.jpg,196963,e67a8fa5b60990d97fe6238cd65cb901b9df30c65d1cd80bfb2ebaa07486a855,FFD8FFE10E30457869660000,1152,1600,
王兴,https://www.gzszyy.com/expert/2026/Vyb82mev.html,实采,,https://oss.gzszyy.com/20200928/102149451.jpg,01_试点医院/广州市中医院/照片/王兴-针灸科-副主任中医师-广州市中医院.jpg,216617,13c87257e84f9cb948107f9e961dda3edf907902809b3d2fd9e0a484ee172a62,FFD8FFE10DDC457869660000,1152,1600,
吴涓,https://www.gzszyy.com/expert/2026/K9b68neE.html,实采,,https://oss.gzszyy.com/20200928/101617228.jpg,01_试点医院/广州市中医院/照片/吴涓-针灸科-副主任中医师-广州市中医院.jpg,202724,9fe4ec35561d59174e8c5e13d8b091a8547a2f085a59a9149f691cea5bfee724,FFD8FFE10D8B457869660000,1152,1600,
张去飞,https://www.gzszyy.com/expert/2026/olej2Rej.html,实采,,https://oss.gzszyy.com/20200928/102407122.jpg,01_试点医院/广州市中医院/照片/张去飞-针灸科-副主任中医师-广州市中医院.jpg,203068,742befe69ad4e8ebbf6a066d50f6edefb8266366aed7e646ccb2e03e1d179c3a,FFD8FFE10E60457869660000,1152,1600,
谢丽琴,https://www.gzszyy.com/expert/2026/MvbmwOeY.html,实采,,https://oss.gzszyy.com/20200928/103111410.jpg,01_试点医院/广州市中医院/照片/谢丽琴-针灸科-副主任中医师-广州市中医院.jpg,210413,3ebee829d991b4ce54b58420f9e687c4857aabfe44bfe159626a47b0fe8ecc6b,FFD8FFE10E2E457869660000,1152,1600,
黄文盖,https://www.gzszyy.com/expert/2026/JxboYjeg.html,实采,,https://oss.gzszyy.com/20200928/103254519.jpg,01_试点医院/广州市中医院/照片/黄文盖-针灸科-副主任中医师-广州市中医院.jpg,195408,ab60ab7301c246ecc390b520edce556656bfb4f9dcc42d340da2a3314c01de3d,FFD8FFE10D84457869660000,1152,1600,
赵奕,https://www.gzszyy.com/expert/2026/openZRe7.html,实采,,https://oss.gzszyy.com/20200928/103012886.jpg,01_试点医院/广州市中医院/照片/赵奕-针灸科-主治医师-广州市中医院.jpg,207756,7df410d908ad92aac5b074c2686e00cc1cf507aed6c88e274d34b71dec79f3be,FFD8FFE10DD3457869660000,1152,1600,
卢立宏,https://www.gzszyy.com/expert/2026/pnelO5dK.html,实采,,https://oss.gzszyy.com/20200928/103546194.jpg,01_试点医院/广州市中医院/照片/卢立宏-针灸科-主治中医师-广州市中医院.jpg,199644,eaa0d5040d07e9275b9d126d8a64dbda5dc584f536cebde44f38556fdefde917,FFD8FFE10DDE457869660000,1152,1600,
刘文文,https://www.gzszyy.com/expert/2026/4zbqj2dp.html,实采,,https://oss.gzszyy.com/20200928/103444343.jpg,01_试点医院/广州市中医院/照片/刘文文-针灸科-医师-广州市中医院.jpg,219074,92d1374a8040c23e4228db92f9b203d5b18ef089f903bdabddff558dac519449,FFD8FFE10EB0457869660000,1152,1600,
卢翠娜,https://www.gzszyy.com/expert/2026/MYer0EbO.html,实采,,https://oss.gzszyy.com/20200928/103332891.jpg,01_试点医院/广州市中医院/照片/卢翠娜-针灸科-医师-广州市中医院.jpg,211790,630fbf1535f78304a844f93a861ad83da102e603058b2e5b5c70a1b2f7b85971,FFD8FFE10E89457869660000,1152,1600,
陈琼茹,https://www.gzszyy.com/expert/2026/jneg56bw.html,实采,,https://oss.gzszyy.com/20200928/103712577.jpg,01_试点医院/广州市中医院/照片/陈琼茹-针灸科-未标注-广州市中医院.jpg,195049,37d8b3512fd3940a7ab674bd1de4abf381cbac1bb3a38729a4050d6d40049c39,FFD8FFE10E25457869660000,1152,1600,
王成银,https://www.gzszyy.com/expert/2026/J0dN6dLO.html,实采,,https://oss.gzszyy.com/20200930/151858554.jpg,01_试点医院/广州市中医院/照片/王成银-脑病科（神经内科）-主任中医师-广州市中医院.jpg,221870,726676b75c594b9289a0a2d2b826b0a64c5c72c728f0718076ffed30fb6c4f94,FFD8FFE10E3F457869660000,1152,1600,
黄坚红,https://www.gzszyy.com/expert/2026/N1aMAaWm.html,实采,,https://oss.gzszyy.com/20200930/152117338.jpg,01_试点医院/广州市中医院/照片/黄坚红-脑病科（神经内科）-主任中医师-广州市中医院.jpg,242580,64e7892e9ccc1d593bf15494439bf0336af83d7e70929fc56ba79285e77297ef,FFD8FFE10F1D457869660000,1152,1600,
许幸仪,https://www.gzszyy.com/expert/2026/WZdPwbKg.html,实采,,https://oss.gzszyy.com/20200930/152740930.jpg,01_试点医院/广州市中医院/照片/许幸仪-脑病科（神经内科）-主任中医师-广州市中医院.jpg,223997,b962a0702fc94bd64e9c343f239c560cf3c593e9bf02f265de1cb63905949f49,FFD8FFE10E69457869660000,1152,1600,
欧阳智,https://www.gzszyy.com/expert/2026/YqaQlenj.html,实采,,https://oss.gzszyy.com/20200930/152827406.jpg,01_试点医院/广州市中医院/照片/欧阳智-脑病科（神经内科）-副主任中医师-广州市中医院.jpg,237663,7d5a95c99a7c00e7351a360c29d9e79b9b0a4d130003257bc17e20dfb86e9359,FFD8FFE10E43457869660000,1152,1600,
翁旭亮,https://www.gzszyy.com/expert/2026/y5eVMdEP.html,实采,,https://oss.gzszyy.com/20200930/153136642.jpg,01_试点医院/广州市中医院/照片/翁旭亮-脑病科（神经内科）-副主任中医师-广州市中医院.jpg,215712,6ff45105d7cd4a09555bec919f0ac530e32bd1c66815829925626241ea82bda4,FFD8FFE10D62457869660000,1152,1600,
吕金丹,https://www.gzszyy.com/expert/2026/lNbWJayg.html,实采,,https://oss.gzszyy.com/20200930/153343945.jpg,01_试点医院/广州市中医院/照片/吕金丹-脑病科（神经内科）-副主任中医师-广州市中医院.jpg,203150,355b2fb64a413379208d0e1e031ab08328fb9b5ec2cbb1aef3b55bb55945e173,FFD8FFE10E19457869660000,1152,1600,
刘青,https://www.gzszyy.com/expert/2026/4QbYKezq.html,实采,,https://oss.gzszyy.com/20200930/153620537.jpg,01_试点医院/广州市中医院/照片/刘青-脑病科（神经内科）-副主任中医师-广州市中医院.jpg,227698,c83360c79f5b95af8711ab45d0c078b74bbdddc373ea2ac7f6638007125918a6,FFD8FFE10E87457869660000,1152,1600,
张汉樑,https://www.gzszyy.com/expert/2026/QBeX5lay.html,实采,,https://oss.gzszyy.com/20200930/152325986.jpg,01_试点医院/广州市中医院/照片/张汉樑-脑病科（神经内科）-副主任中医师-广州市中医院.jpg,219096,67f97c67426909e4db3cc663a74acff61fde5b28557e25f600a6e5fce366fb73,FFD8FFE10D69457869660000,1152,1600,
邱铃铃,https://www.gzszyy.com/expert/2026/ELe3Mb69.html,实采,,https://oss.gzszyy.com/20200930/154147234.jpg,01_试点医院/广州市中医院/照片/邱铃铃-脑病科（神经内科）-副主任中医师-广州市中医院.jpg,227227,3f1ac086bafd374ea2cb63fac4e7af926dcd4bcc3fceb716e6f475eddda811db,FFD8FFE10E42457869660000,1152,1600,
雷源,https://www.gzszyy.com/expert/2026/QBeXWdyK.html,实采,,https://oss.gzszyy.com/20200930/153439575.jpg,01_试点医院/广州市中医院/照片/雷源-脑病科（神经内科）-主治医师-广州市中医院.jpg,239173,d2c613199ed36710eefb760acb94fe6e77d7f605a068b97ae88687c8331ba17c,FFD8FFE10F47457869660000,1152,1600,
黑赏艳,https://www.gzszyy.com/expert/2026/4oeEKmb0.html,实采,,https://oss.gzszyy.com/20250624/153003388.png,01_试点医院/广州市中医院/照片/黑赏艳-脑病科（神经内科）-主治中医师-广州市中医院.png,546982,d2f18700166f3eb1a0a7abcaa70e1b6aa58e17df077c9bb3516cd6721003d7e0,89504E470D0A1A0A0000000D,609,789,
梁洁,https://www.gzszyy.com/expert/2026/APdRqbGy.html,实采,,https://oss.gzszyy.com/20200930/153022348.jpg,01_试点医院/广州市中医院/照片/梁洁-脑病科（神经内科）-主治中医师-广州市中医院.jpg,251872,da19c7933bc1ba56e4b92c5409f590c08b368520f5c327980da10690596f86c5,FFD8FFE10F11457869660000,1152,1600,
杨玲,https://www.gzszyy.com/expert/2026/GRb41dBL.html,实采,,https://oss.gzszyy.com/20200930/154932544.jpg,01_试点医院/广州市中医院/照片/杨玲-脑病科（神经内科）-主治中医师-广州市中医院.jpg,222312,b29f73cc487919728d3e62081f35376931b2cb94e93358f14bb02a170ead0548,FFD8FFE10E6C457869660000,1152,1600,
刘恒,https://www.gzszyy.com/expert/2026/K9b6nbEv.html,实采,,https://oss.gzszyy.com/20200930/160716556.jpg,01_试点医院/广州市中医院/照片/刘恒-脑病科（神经内科）-医师-广州市中医院.jpg,235388,1c421c2883a196acfc13f8525cbdb63652682a6801a9fb4d3902934d37b654d4,FFD8FFE10F27457869660000,1152,1600,
高婷婷,https://www.gzszyy.com/expert/2026/Jrb2KdWL.html,实采,,https://oss.gzszyy.com/20200930/155532330.jpg,01_试点医院/广州市中医院/照片/高婷婷-脑病科（神经内科）-未标注-广州市中医院.jpg,294449,5555a817b03c253abb0ef7257c52c7a4868085b3a8ec0a74faef1387f2d4b38e,FFD8FFE11057457869660000,1152,1600,
林振坤,https://www.gzszyy.com/expert/2026/oQeZJepZ.html,实采,,https://oss.gzszyy.com/20210322/143700335.jpg,01_试点医院/广州市中医院/照片/林振坤-脑病科（神经内科）-副主任医师-广州市中医院.jpg,39124,04207dbab7bc53c13ebb9104f7f42664ebfb85b02815a825f22d40fb0eb9d9b0,FFD8FFE000104A4649460001,595,800,
陈秀慧,https://www.gzszyy.com/expert/2026/3YaOpbxq.html,实采,,https://oss.gzszyy.com/20200930/152011831.jpg,01_试点医院/广州市中医院/照片/陈秀慧-脑病科（神经内科）-主任医师-广州市中医院.jpg,195855,d90296faa666ed78fba2394aacda5838ac6021c12fa64c9ebc586b85bb861fdb,FFD8FFE10E70457869660000,1152,1600,
张艳红,https://www.gzszyy.com/expert/2026/M7e5Ba2v.html,实采,,https://oss.gzszyy.com/20200930/155107648.jpg,01_试点医院/广州市中医院/照片/张艳红-脑病科（神经内科）-未标注-广州市中医院.jpg,210684,a274ba78c2f5d7845512bea73f750fca4919b0800ae8acb498f25fa0a5a75031,FFD8FFE10EE6457869660000,1152,1600,
王晓捷,https://www.gzszyy.com/expert/2026/Vyb8mdvA.html,实采,,https://oss.gzszyy.com/20200930/160115116.jpg,01_试点医院/广州市中医院/照片/王晓捷-脑病科（神经内科）-未标注-广州市中医院.jpg,175343,b330bb0e4858af4c3bf87284b1c22902e3ff887d7d9463b25a7f074a0494bcd4,FFD8FFE10DD0457869660000,1152,1600,
樊春华,https://www.gzszyy.com/expert/2026/8mepY2aM.html,实采,,https://oss.gzszyy.com/20200927/161628698.jpg,01_试点医院/广州市中医院/照片/樊春华-脾胃科（消化内科）-主任中医师-广州市中医院.jpg,207589,8fc9fe1420cbfaee40e1a820744bf4eff17ca0dc70c26dd7525a60f15b9b3f47,FFD8FFE10DE8457869660000,1152,1600,
吴宇金,https://www.gzszyy.com/expert/2026/nXe0vbxr.html,实采,,https://oss.gzszyy.com/20200927/155900902.jpg,01_试点医院/广州市中医院/照片/吴宇金-脾胃科（消化内科）-主任中医师-广州市中医院.jpg,204908,b4f1e33801783c6b8791f6b0929dc79d8968e93f9fa3f8f41fcb284a3264df2a,FFD8FFE10DD2457869660000,1152,1600,
古伟明,https://www.gzszyy.com/expert/2026/pmbkR5az.html,实采,,https://oss.gzszyy.com/20200927/161035752.jpg,01_试点医院/广州市中医院/照片/古伟明-脾胃科（消化内科）-主任中医师-广州市中医院.jpg,210610,67cea66a28f542d6a27451a4775594c8ddec225a43044eb86d4c4bed75cb1515,FFD8FFE10DEA457869660000,1152,1600,
杨洁,https://www.gzszyy.com/expert/2026/olejRRej.html,实采,,https://oss.gzszyy.com/20240820/150119503.jpg,01_试点医院/广州市中医院/照片/杨洁-脾胃科（消化内科）-主任中医师-广州市中医院.jpg,214581,fe2bdf9a0ff20099fc114f24005cfb58a7261f881233155227dc97280b8bb830,FFD8FFE000104A4649460001,2000,1333,
康宜兵,https://www.gzszyy.com/expert/2026/pnelY5aK.html,实采,,https://oss.gzszyy.com/20200927/161339444.jpg,01_试点医院/广州市中医院/照片/康宜兵-脾胃科（消化内科）-主任中医师-广州市中医院.jpg,214836,83c80459f7ab69d87b6f89117ad5063c3e22f94d224ad81528ada105daafb0f0,FFD8FFE10E85457869660000,1152,1600,
林穗芳,https://www.gzszyy.com/expert/2026/4QbY59bz.html,实采,,https://oss.gzszyy.com/20200927/160940968.jpg,01_试点医院/广州市中医院/照片/林穗芳-脾胃科（消化内科）-主任中医师-广州市中医院.jpg,215181,5d1b7949147f08cc67350812d15ae5901d2e961fb88f9721e25f09583f4f6fca,FFD8FFE10DDE457869660000,1152,1600,
何润明,https://www.gzszyy.com/expert/2026/jnegJYdw.html,实采,,https://oss.gzszyy.com/20200927/160751764.jpg,01_试点医院/广州市中医院/照片/何润明-脾胃科（消化内科）-主任中医师-广州市中医院.jpg,190019,d70546224741af63004725e73238af36df9e50d70e12e3569ebea0635878347b,FFD8FFE10D7A457869660000,1152,1600,
杨以琳,https://www.gzszyy.com/expert/2026/open5Rd7.html,实采,,https://oss.gzszyy.com/20200927/161511865.jpg,01_试点医院/广州市中医院/照片/杨以琳-脾胃科（消化内科）-主任中医师-广州市中医院.jpg,216594,517e1dddd9a7b6e710e3ce67025eb005739342a20f9587b55ceb719effbcf4f9,FFD8FFE10EB2457869660000,1152,1600,
詹原泉,https://www.gzszyy.com/expert/2026/Jxbo2jag.html,实采,,https://oss.gzszyy.com/20200927/161551606.jpg,01_试点医院/广州市中医院/照片/詹原泉-脾胃科（消化内科）-主任中医师-广州市中医院.jpg,204691,f288a8210b1d7602e49336e85d6fbc650db9aea7a4274190f70584315ce690a9,FFD8FFE10DAA457869660000,1152,1600,
陈文剑,https://www.gzszyy.com/expert/2026/MvbmZOdY.html,实采,,https://oss.gzszyy.com/20200927/161420952.jpg,01_试点医院/广州市中医院/照片/陈文剑-脾胃科（消化内科）-副主任中医师-广州市中医院.jpg,214351,af5af4d123438a70f12450249f2764cb6ee195319a99b8a7489dfe3d5cae4a31,FFD8FFE10DC5457869660000,1152,1600,
廖媛,https://www.gzszyy.com/expert/2026/4zbqx2ap.html,实采,,https://oss.gzszyy.com/20200927/161657567.jpg,01_试点医院/广州市中医院/照片/廖媛-脾胃科（消化内科）-副主任中医师-广州市中医院.jpg,209104,2e66c3a559f9e53f9c02afd8b5c96f2eef5e64eee099c5943863f185009643eb,FFD8FFE10DD5457869660000,1152,1600,
丛龙玲,https://www.gzszyy.com/expert/2026/MYerkEaO.html,实采,,https://oss.gzszyy.com/20200927/161734899.jpg,01_试点医院/广州市中医院/照片/丛龙玲-脾胃科（消化内科）-主治中医师-广州市中医院.jpg,205971,22c2ca96b0105e21172df22b9f3f3206d53e80cc976db10b0e6a0221edd66525,FFD8FFE10DEC457869660000,1152,1600,
林志鹏,https://www.gzszyy.com/expert/2026/l9av2maG.html,实采,,https://oss.gzszyy.com/20200927/162028877.jpg,01_试点医院/广州市中医院/照片/林志鹏-脾胃科（消化内科）-主治中医师-广州市中医院.jpg,193244,200be09622ff741ad365b9ed414fe411bcd98793519852fd2c05dc7e96bbfece,FFD8FFE10E3F457869660000,1152,1600,
王学川,https://www.gzszyy.com/expert/2026/LDdwpRe1.html,实采,,https://oss.gzszyy.com/20200927/162101725.jpg,01_试点医院/广州市中医院/照片/王学川-脾胃科（消化内科）-主治中医师-广州市中医院.jpg,199960,e5e029d69d861760330309906412c424be09e1b62cb810d69985741b8bbe5ae5,FFD8FFE10D62457869660000,1152,1600,
范嘉伟,https://www.gzszyy.com/expert/2026/JxbovAag.html,实采,,https://oss.gzszyy.com/20240612/152749781.jpg,01_试点医院/广州市中医院/照片/范嘉伟-脾胃科（消化内科）-主治中医师-广州市中医院.jpg,176006,ef6b0077d8f5ba0652574003b2a4e02e4cc921ca2f19b2d960613678df6259a3,FFD8FFE119BF457869660000,2000,1333,
胡淑文,https://www.gzszyy.com/expert/2026/M7e5WZb2.html,实采,,https://oss.gzszyy.com/20210407/084932371.png,01_试点医院/广州市中医院/照片/胡淑文-脾胃科（消化内科）-医师-广州市中医院.png,1133975,d31ec1c05b71eec2c020b7e147fbcaf9e51a90d106ae1562dc98a7044a2bbfc5,89504E470D0A1A0A0000000D,756,858,
梁依敏,https://www.gzszyy.com/expert/2026/y5eVJBeE.html,实采,,https://oss.gzszyy.com/20251118/140709731.png,01_试点医院/广州市中医院/照片/梁依敏-脾胃科（消化内科）-医师-广州市中医院.png,6193649,0618d50d178b3b6ea6a9d5d5ad03e47d49a8115301ba370871a1b0be9eb8815b,89504E470D0A1A0A0000000D,1270,1217,
李郡,https://www.gzszyy.com/expert/2026/zPdyP7bQ.html,实采,,https://oss.gzszyy.com/20220207/152535943.jpg,01_试点医院/广州市中医院/照片/李郡-脾胃科（消化内科）-医师-广州市中医院.jpg,163454,18ecc9155aec32743f180d6f825c74fe416878c035a3dd3a3dbf71a28646cd37,FFD8FFE10FB4457869660000,1152,1600,
苏子珊,https://www.gzszyy.com/expert/2026/xkazpYdJ.html,实采,,https://oss.gzszyy.com/20200927/163040745.jpg,01_试点医院/广州市中医院/照片/苏子珊-脾胃科（消化内科）-医师-广州市中医院.jpg,219292,2df2cf23ddc4ac80f40f832d05533cba86ebd0afd22503def30c471ec303a1d0,FFD8FFE10E88457869660000,1152,1600,
张健谊,https://www.gzszyy.com/expert/2026/8mepRXbM.html,实采,,https://oss.gzszyy.com/20240612/153016243.jpg,01_试点医院/广州市中医院/照片/张健谊-脾胃科（消化内科）-医师-广州市中医院.jpg,235336,1a22e4c161fdbc875b3c01a259c07768a6842e5064c06bdfbd6f3245c27606c7,FFD8FFE000104A4649460001,2000,1333,
陈智恒,https://www.gzszyy.com/expert/2026/zPdypzbQ.html,实采,,https://oss.gzszyy.com/20250624/151708875.jpg,01_试点医院/广州市中医院/照片/陈智恒-脾胃科（消化内科）-医师-广州市中医院.jpg,163867,49d981bd624b86514409d23a64a4f363fe4d430ab4eb662307ecaa73248f8946,FFD8FFE000104A4649460001,2000,1333,
