序号,推进批次,城市,区县,医院名称,医院别名,医院等级,医院类型,官网首页_候选,官网标题_自动识别,医生目录入口_候选,入口类型_自动判断,是否可按科室_初判,是否可全院采集_初判,采集难度_初判,官方确认状态,自动置信度,检索关键词,搜索依据链接,排除或注意事项,下一步动作,人工复核结果,人工备注,更新时间
11,1,广州市,海珠区,南方医科大学珠江医院,珠江医院,三级甲等,综合医院,,,,,,,D-待人工补官网,未找到-待人工补充,未找到,南方医科大学珠江医院 官方网站 官网 / 南方医科大学珠江医院 官网 医生 专家 科室,,,人工补充官网首页,,,2026-08-09
12,1,广州市,越秀区,南方医科大学皮肤病医院,广东省皮肤病医院,三级甲等,专科医院,https://www.gdskin.com/,"南方医科大学皮肤病医院,广东省皮肤病医院,广东省皮肤性病防治中心,中国麻风防治研究中心官网主页",https://www.gdskin.com/ShowNews.aspx?ID=6943,医生目录,可能,待确认,A-优先自动采集,自动候选-待人工复核,高,南方医科大学皮肤病医院 官方网站 官网,https://html.duckduckgo.com/html/?q=%E5%8D%97%E6%96%B9%E5%8C%BB%E7%A7%91%E5%A4%A7%E5%AD%A6%E7%9A%AE%E8%82%A4%E7%97%85%E5%8C%BB%E9%99%A2%20%E5%AE%98%E6%96%B9%E7%BD%91%E7%AB%99%20%E5%AE%98%E7%BD%91,入口锚文本：【喜讯】我院2位专家获评首届十大广州“青年医学尖兵”及2024年“广州好医生”,人工打开医生入口，确认是否覆盖全院,,,2026-08-09
13,1,广州市,天河区,南方医科大学第三附属医院,广东省骨科研究院,三级甲等,综合医院,http://www.nysy.com.cn/,南方医科大学第三附属医院,http://www.nysy.com.cn/cn/ksts/fzks/jkglzx/,疑似医生入口,可能,待确认,A-优先自动采集,自动候选-待人工复核,高,南方医科大学第三附属医院 官方网站 官网,https://html.duckduckgo.com/html/?q=site%3Anysy.com.cn%20%E5%8D%97%E6%96%B9%E5%8C%BB%E7%A7%91%E5%A4%A7%E5%AD%A6%E7%AC%AC%E4%B8%89%E9%99%84%E5%B1%9E%E5%8C%BB%E9%99%A2%20%E5%8C%BB%E7%94%9F%20%E4%B8%93%E5%AE%B6%20%E7%A7%91%E5%AE%A4,,人工打开医生入口，确认是否覆盖全院,,,2026-08-09
14,1,广州市,从化市,南方医科大学第五附属医院,南方医科大学第五附属医院,三级甲等,综合医院,http://www.ny5y.cn/,南方医科大学第五附属医院,http://www.ny5y.cn/zhuanjia_sanji.php?id=98,专家介绍,可能,待确认,A-优先自动采集,自动候选-待人工复核,高,南方医科大学第五附属医院 官方网站 官网 / 南方医科大学第五附属医院 官网 医生 专家 科室,https://html.duckduckgo.com/html/?q=%E5%8D%97%E6%96%B9%E5%8C%BB%E7%A7%91%E5%A4%A7%E5%AD%A6%E7%AC%AC%E4%BA%94%E9%99%84%E5%B1%9E%E5%8C%BB%E9%99%A2%20%E5%AE%98%E7%BD%91%20%E5%8C%BB%E7%94%9F%20%E4%B8%93%E5%AE%B6%20%E7%A7%91%E5%AE%A4,,人工打开医生入口，确认是否覆盖全院,,,2026-08-09
15,1,广州市,越秀区,南部战区空军医院,原解放军第四五八医院,三级甲等,综合医院,http://nbkjyy.mil.cn/,南部战区空军医院_官方网站,http://nbkjyy.mil.cn/expert/,专家介绍,可能,待确认,A-优先自动采集,自动候选-待人工复核,高,南部战区空军医院 官方网站 官网,https://html.duckduckgo.com/html/?q=%E5%8D%97%E9%83%A8%E6%88%98%E5%8C%BA%E7%A9%BA%E5%86%9B%E5%8C%BB%E9%99%A2%20%E5%AE%98%E6%96%B9%E7%BD%91%E7%AB%99%20%E5%AE%98%E7%BD%91,入口锚文本：专家介绍,人工打开医生入口，确认是否覆盖全院,,,2026-08-09
16,1,广州市,越秀区,广东省中医院,广东省中医院,三级甲等,综合医院,http://广东省中医院.中国/,广东省中医院.中国,,,,,C-仅官网待找入口,已找到官网-待补医生入口,高,广东省中医院 官方网站 官网,https://html.duckduckgo.com/html/?q=%E5%B9%BF%E4%B8%9C%E7%9C%81%E4%B8%AD%E5%8C%BB%E9%99%A2%20%E5%AE%98%E6%96%B9%E7%BD%91%E7%AB%99%20%E5%AE%98%E7%BD%91,,人工打开官网首页，查找专家/医生/科室入口,,,2026-08-09
17,1,广州市,越秀区,广东省中医院二沙岛医院,广东省中医院二沙岛医院,三级甲等,综合医院,,,,,,,D-待人工补官网,未找到-待人工补充,未找到,广东省中医院二沙岛医院 官方网站 官网 / 广东省中医院二沙岛医院 官网 医生 专家 科室,,,人工补充官网首页,,,2026-08-09
18,1,广州市,荔湾区,广东省中医院芳村分院,广州市慈善医院,三级甲等,综合医院,https://www.gdhtcm.com/college/index_100000301137599.html,广东省中医院,https://www.gdhtcm.com/expert/index_100000000817179.html,专家介绍,可能,待确认,A-优先自动采集,自动候选-待人工复核,中,广东省中医院芳村分院 官方网站 官网,https://html.duckduckgo.com/html/?q=%E5%B9%BF%E4%B8%9C%E7%9C%81%E4%B8%AD%E5%8C%BB%E9%99%A2%E8%8A%B3%E6%9D%91%E5%88%86%E9%99%A2%20%E5%AE%98%E6%96%B9%E7%BD%91%E7%AB%99%20%E5%AE%98%E7%BD%91,入口锚文本：专家介绍；院区/分院条目需确认是否独立采集,人工打开医生入口，确认是否覆盖全院,,,2026-08-09
19,1,广州市,越秀区,广东省人民医院,广东省医学科学院,三级甲等,综合医院,,,,,,,D-待人工补官网,未找到-待人工补充,未找到,广东省人民医院 官方网站 官网 / 广东省人民医院 官网 医生 专家 科室,,,人工补充官网首页,,,2026-08-09
20,1,广州市,越秀区,广东省人民医院惠福分院,广东省人民医院惠福分院,三级甲等,综合医院,,,,,,,D-待人工补官网,未找到-待人工补充,未找到,广东省人民医院惠福分院 官方网站 官网 / 广东省人民医院惠福分院 官网 医生 专家 科室,,院区/分院条目需确认是否独立采集,人工补充官网首页,,,2026-08-09
21,1,广州市,白云区,广东省妇幼保健院,广东省妇幼保健院,三级甲等,综合医院,,,,,,,D-待人工补官网,未找到-待人工补充,未找到,广东省妇幼保健院 官方网站 官网 / 广东省妇幼保健院 官网 医生 专家 科室,,,人工补充官网首页,,,2026-08-09
22,1,广州市,天河区,广东省第二中医院,广东省第二中医院,三级甲等,综合医院,https://www.gdzy5413.com/main/main.aspx,广东省第二中医院--广东省中医药工程技术研究院,https://www.gdzy5413.com/main/famousdoctorinfo.aspx?fid=81&cid=851&pid=850,医生目录,可能,待确认,A-优先自动采集,自动候选-待人工复核,中,广东省第二中医院 官方网站 官网,https://html.duckduckgo.com/html/?q=%E5%B9%BF%E4%B8%9C%E7%9C%81%E7%AC%AC%E4%BA%8C%E4%B8%AD%E5%8C%BB%E9%99%A2%20%E5%AE%98%E6%96%B9%E7%BD%91%E7%AB%99%20%E5%AE%98%E7%BD%91,入口锚文本：专家荟萃,人工打开医生入口，确认是否覆盖全院,,,2026-08-09
23,1,广州市,海珠区,广东省第二人民医院,解放军第一七七中心医院,三级甲等,综合医院,,,,,,,D-待人工补官网,未找到-待人工补充,未找到,广东省第二人民医院 官方网站 官网 / 广东省第二人民医院 官网 医生 专家 科室,,,人工补充官网首页,,,2026-08-09
24,1,广州市,越秀区,广东药科大学附属第一医院,广东药科大学附属第一医院,三级甲等,综合医院,,,,,,,D-待人工补官网,未找到-待人工补充,未找到,广东药科大学附属第一医院 官方网站 官网 / 广东药科大学附属第一医院 官网 医生 专家 科室,https://html.duckduckgo.com/html/?q=%E5%B9%BF%E4%B8%9C%E8%8D%AF%E7%A7%91%E5%A4%A7%E5%AD%A6%E9%99%84%E5%B1%9E%E7%AC%AC%E4%B8%80%E5%8C%BB%E9%99%A2%20%E5%AE%98%E7%BD%91%20%E5%8C%BB%E7%94%9F%20%E4%B8%93%E5%AE%B6%20%E7%A7%91%E5%AE%A4,,人工补充官网首页,,,2026-08-09
25,1,广州市,白云区,广州中医药大学第一附属医院,广州中医药大学第一附属医院,三级甲等,综合医院,,,,,,,D-待人工补官网,未找到-待人工补充,未找到,广州中医药大学第一附属医院 官方网站 官网 / 广州中医药大学第一附属医院 官网 医生 专家 科室,,,人工补充官网首页,,,2026-08-09
26,1,广州市,天河区,广州中医药大学第一附属医院先烈东门诊部,广州中医药大学第一附属医院先烈东门诊部,三级甲等,其他,,,,,,,D-待人工补官网,未找到-待人工补充,未找到,广州中医药大学第一附属医院先烈东门诊部 官方网站 官网 / 广州中医药大学第一附属医院先烈东门诊部 官网 医生 专家 科室,,院区/分院条目需确认是否独立采集,人工补充官网首页,,,2026-08-09
27,1,广州市,海珠区,广州中医药大学第三附属医院,广州中医药大学附属骨伤科医院,三级甲等,专科医院,,,,,,,D-待人工补官网,未找到-待人工补充,未找到,广州中医药大学第三附属医院 官方网站 官网 / 广州中医药大学第三附属医院 官网 医生 专家 科室,,,人工补充官网首页,,,2026-08-09
28,1,广州市,荔湾区,广州中医药大学第三附属医院芳村分院,广州中医药大学第三附属医院芳村分院,三级甲等,综合医院,,,,,,,D-待人工补官网,未找到-待人工补充,未找到,广州中医药大学第三附属医院芳村分院 官方网站 官网 / 广州中医药大学第三附属医院芳村分院 官网 医生 专家 科室,,院区/分院条目需确认是否独立采集,人工补充官网首页,,,2026-08-09
29,1,广州市,大东区,广州军区广州总医院附属一五七医院,广州总医院一五七医院,三级甲等,综合医院,,,,,,,D-待人工补官网,未找到-待人工补充,未找到,广州军区广州总医院附属一五七医院 官方网站 官网 / 广州军区广州总医院附属一五七医院 官网 医生 专家 科室,https://html.duckduckgo.com/html/?q=%E5%B9%BF%E5%B7%9E%E5%86%9B%E5%8C%BA%E5%B9%BF%E5%B7%9E%E6%80%BB%E5%8C%BB%E9%99%A2%E9%99%84%E5%B1%9E%E4%B8%80%E4%BA%94%E4%B8%83%E5%8C%BB%E9%99%A2%20%E5%AE%98%E7%BD%91%20%E5%8C%BB%E7%94%9F%20%E4%B8%93%E5%AE%B6%20%E7%A7%91%E5%AE%A4,,人工补充官网首页,,,2026-08-09
30,1,广州市,越秀区,广州军区机关医院哮喘气管炎诊疗中心,广州军区机关医院哮喘气管炎诊疗中心,三级甲等,综合医院,https://www.thinkdid.com/hospitalInfo/city/hospital/22810.html,广州军区机关医院哮喘气管炎诊疗中心-行迪医管,,,,,C-仅官网待找入口,已找到官网-待补医生入口,中,广州军区机关医院哮喘气管炎诊疗中心 官方网站 官网,https://html.duckduckgo.com/html/?q=%E5%B9%BF%E5%B7%9E%E5%86%9B%E5%8C%BA%E6%9C%BA%E5%85%B3%E5%8C%BB%E9%99%A2%E5%93%AE%E5%96%98%E6%B0%94%E7%AE%A1%E7%82%8E%E8%AF%8A%E7%96%97%E4%B8%AD%E5%BF%83%20%E5%AE%98%E6%96%B9%E7%BD%91%E7%AB%99%20%E5%AE%98%E7%BD%91,,人工打开官网首页，查找专家/医生/科室入口,,,2026-08-09
31,1,广州市,越秀区,广州军区机关门诊部哮喘气管炎治疗科,广州军区机关医院,三级甲等,综合医院,,,,,,,D-待人工补官网,未找到-待人工补充,未找到,广州军区机关门诊部哮喘气管炎治疗科 官方网站 官网 / 广州军区机关门诊部哮喘气管炎治疗科 官网 医生 专家 科室,,院区/分院条目需确认是否独立采集,人工补充官网首页,,,2026-08-09
32,1,广州市,海珠区,广州医学院第一附属医院海印分院,广州医学院第一附属医院海印分院,三级甲等,综合医院,,,,,,,D-待人工补官网,未找到-待人工补充,未找到,广州医学院第一附属医院海印分院 官方网站 官网 / 广州医学院第一附属医院海印分院 官网 医生 专家 科室,,院区/分院条目需确认是否独立采集,人工补充官网首页,,,2026-08-09
33,1,广州市,荔湾区,广州医科大学附属口腔医院,广州医科大学羊城医院,三级甲等,专科医院,https://www.gykqyy.com/,广州医科大学附属口腔医院 口腔医学院,https://www.gykqyy.com/list.html?category=55,专家介绍,可能,待确认,A-优先自动采集,自动候选-待人工复核,高,广州医科大学附属口腔医院 官方网站 官网 / 广州医科大学附属口腔医院 官网 医生 专家 科室,https://html.duckduckgo.com/html/?q=%E5%B9%BF%E5%B7%9E%E5%8C%BB%E7%A7%91%E5%A4%A7%E5%AD%A6%E9%99%84%E5%B1%9E%E5%8F%A3%E8%85%94%E5%8C%BB%E9%99%A2%20%E5%AE%98%E7%BD%91%20%E5%8C%BB%E7%94%9F%20%E4%B8%93%E5%AE%B6%20%E7%A7%91%E5%AE%A4,入口锚文本：专家介绍,人工打开医生入口，确认是否覆盖全院,,,2026-08-09
34,1,广州市,越秀区,广州医科大学附属第一医院,广州医科大学附属第一医院,三级甲等,综合医院,https://www.gyfyyy.cn/,广州医科大学附属第一医院官方网站www.gyfyy.com,https://www.gyfyyy.cn/cn/ylfw/czcx/,专家介绍,可能,待确认,A-优先自动采集,自动候选-待人工复核,高,广州医科大学附属第一医院 官方网站 官网,https://html.duckduckgo.com/html/?q=%E5%B9%BF%E5%B7%9E%E5%8C%BB%E7%A7%91%E5%A4%A7%E5%AD%A6%E9%99%84%E5%B1%9E%E7%AC%AC%E4%B8%80%E5%8C%BB%E9%99%A2%20%E5%AE%98%E6%96%B9%E7%BD%91%E7%AB%99%20%E5%AE%98%E7%BD%91,入口锚文本：专家排班,人工打开医生入口，确认是否覆盖全院,,,2026-08-09
35,1,广州市,荔湾区,广州医科大学附属第三医院,广州医科大学附属第三医院,三级甲等,综合医院,https://www.gy3y.cn/index,首页_广州医科大学附属第三医院,https://www.gy3y.cn/kstd/zjjs.html,医生目录,可能,待确认,A-优先自动采集,自动候选-待人工复核,高,广州医科大学附属第三医院 官方网站 官网,https://html.duckduckgo.com/html/?q=%E5%B9%BF%E5%B7%9E%E5%8C%BB%E7%A7%91%E5%A4%A7%E5%AD%A6%E9%99%84%E5%B1%9E%E7%AC%AC%E4%B8%89%E5%8C%BB%E9%99%A2%20%E5%AE%98%E6%96%B9%E7%BD%91%E7%AB%99%20%E5%AE%98%E7%BD%91,入口锚文本：医生查询,人工打开医生入口，确认是否覆盖全院,,,2026-08-09
36,1,广州市,海珠区,广州医科大学附属第二医院,广医二院,三级甲等,综合医院,,,,,,,D-待人工补官网,未找到-待人工补充,未找到,广州医科大学附属第二医院 官方网站 官网 / 广州医科大学附属第二医院 官网 医生 专家 科室,,,人工补充官网首页,,,2026-08-09
37,1,广州市,荔湾区,广州医科大学附属脑科医院,广州医科大学附属脑科医院,三级甲等,专科医院,,,,,,,D-待人工补官网,未找到-待人工补充,未找到,广州医科大学附属脑科医院 官方网站 官网 / 广州医科大学附属脑科医院 官网 医生 专家 科室,,,人工补充官网首页,,,2026-08-09
38,1,广州市,花都区,广州医科大学附属脑科医院(江村院区),广州医科大学附属脑科医院(江村院区),三级甲等,专科医院,https://www.gzbrain.cn/myzj/list.aspx,广州医科大学附属脑科医院，广州市惠爱医院，广州市脑科医院，广州医科大学附属精神病医院，广州市精神病医院，广州市精神卫生中心,,,,,C-仅官网待找入口,已找到官网-待补医生入口,中,广州医科大学附属脑科医院 官方网站 官网 / 广州医科大学附属脑科医院 官网 医生 专家 科室,https://html.duckduckgo.com/html/?q=%E5%B9%BF%E5%B7%9E%E5%8C%BB%E7%A7%91%E5%A4%A7%E5%AD%A6%E9%99%84%E5%B1%9E%E8%84%91%E7%A7%91%E5%8C%BB%E9%99%A2%20%E5%AE%98%E7%BD%91%20%E5%8C%BB%E7%94%9F%20%E4%B8%93%E5%AE%B6%20%E7%A7%91%E5%AE%A4,院区/分院条目需确认是否独立采集,人工打开官网首页，查找专家/医生/科室入口,,,2026-08-09
39,1,广州市,荔湾区,广州市中医院,广州市中医院,三级甲等,综合医院,https://www.gzszyy.com/patient/,患者版-广州医科大学附属中医医院|广州市中医医院【官方网站】,https://m.gzszyy.com/science_zyd_zxdt/2025/PdR6WzdG.html,疑似医生入口,可能,待确认,A-优先自动采集,自动候选-待人工复核,中,广州市中医院 官方网站 官网,https://html.duckduckgo.com/html/?q=%E5%B9%BF%E5%B7%9E%E5%B8%82%E4%B8%AD%E5%8C%BB%E9%99%A2%20%E5%AE%98%E6%96%B9%E7%BD%91%E7%AB%99%20%E5%AE%98%E7%BD%91,,人工打开医生入口，确认是否覆盖全院,,,2026-08-09
40,1,广州市,花都区,广州市中西医结合医院,"广州市花都区中医院,广州中医药大学附属花都医院",三级甲等,综合医院,https://gzitwm.net/,广州市中西医结合医院,https://gzitwm.net/specialist/index.html,疑似医生入口,可能,待确认,A-优先自动采集,自动候选-待人工复核,高,广州市中西医结合医院 官方网站 官网 / 广州市中西医结合医院 官网 医生 专家 科室,https://html.duckduckgo.com/html/?q=%E5%B9%BF%E5%B7%9E%E5%B8%82%E4%B8%AD%E8%A5%BF%E5%8C%BB%E7%BB%93%E5%90%88%E5%8C%BB%E9%99%A2%20%E5%AE%98%E7%BD%91%20%E5%8C%BB%E7%94%9F%20%E4%B8%93%E5%AE%B6%20%E7%A7%91%E5%AE%A4,,人工打开医生入口，确认是否覆盖全院,,,2026-08-09
41,1,广州市,荔湾区,广州市儿童医院,广州市儿童医院,三级甲等,专科医院,,,,,,,D-待人工补官网,未找到-待人工补充,未找到,广州市儿童医院 官方网站 官网 / 广州市儿童医院 官网 医生 专家 科室,,,人工补充官网首页,,,2026-08-09
42,1,广州市,荔湾区,广州市妇女儿童医疗中心,广州市妇幼保健院,三级甲等,综合医院,https://www.gzfezx.com/,广州市妇女儿童医疗中心,https://www.gzfezx.com/division/department,科室导航,是,待确认,B-半自动采集,自动候选-待人工复核,中,广州市妇女儿童医疗中心 官方网站 官网 / 广州市妇女儿童医疗中心 官网 医生 专家 科室,https://html.duckduckgo.com/html/?q=%E5%B9%BF%E5%B7%9E%E5%B8%82%E5%A6%87%E5%A5%B3%E5%84%BF%E7%AB%A5%E5%8C%BB%E7%96%97%E4%B8%AD%E5%BF%83%20%E5%AE%98%E7%BD%91%20%E5%8C%BB%E7%94%9F%20%E4%B8%93%E5%AE%B6%20%E7%A7%91%E5%AE%A4,,人工打开医生入口，确认是否覆盖全院,,,2026-08-09
43,1,广州市,番禺区,广州市番禺区中医院,广州市番禺区中医院,三级甲等,综合医院,https://www.gzpyzy.cn/index.php?ac=article&at=list&tid=1,最新动态-番禺区中医院,https://www.gzpyzy.cn/index.php?ac=article&at=read&did=5608,专家介绍,可能,待确认,A-优先自动采集,自动候选-待人工复核,中,广州市番禺区中医院 官方网站 官网,https://html.duckduckgo.com/html/?q=%E5%B9%BF%E5%B7%9E%E5%B8%82%E7%95%AA%E7%A6%BA%E5%8C%BA%E4%B8%AD%E5%8C%BB%E9%99%A2%20%E5%AE%98%E6%96%B9%E7%BD%91%E7%AB%99%20%E5%AE%98%E7%BD%91,入口锚文本：2026.03.13【家门口看名医】番禺区中医院派出首批骨干专家团队到区第五人民医院定期开诊,人工打开医生入口，确认是否覆盖全院,,,2026-08-09
44,1,广州市,番禺区,广州市番禺区中心医院,广州市番禺区人民医院、广州市番禺区心血管疾病研究所,三级甲等,综合医院,https://www.pyhospital.com.cn/,广州医科大学附属番禺中心医院,https://www.pyhospital.com.cn/show_list.php?id=70,专家介绍,可能,待确认,A-优先自动采集,自动候选-待人工复核,高,广州市番禺区中心医院 官方网站 官网,https://html.duckduckgo.com/html/?q=site%3Apyhospital.com.cn%20%E5%B9%BF%E5%B7%9E%E5%B8%82%E7%95%AA%E7%A6%BA%E5%8C%BA%E4%B8%AD%E5%BF%83%E5%8C%BB%E9%99%A2%20%E5%8C%BB%E7%94%9F%20%E4%B8%93%E5%AE%B6%20%E7%A7%91%E5%AE%A4,,人工打开医生入口，确认是否覆盖全院,,,2026-08-09
45,1,广州市,越秀区,广州市第一人民医院,广州市第一人民医院,三级甲等,综合医院,https://www.gzsbyqrmyy.cn/sy.htm,首页-广州市白云区人民医院，白云区人民医院，广州市白云区人民医院官网,https://www.gzsbyqrmyy.cn/info/1042/9014.htm,医生目录,可能,待确认,A-优先自动采集,自动候选-待人工复核,中,广州市第一人民医院 官方网站 官网,https://html.duckduckgo.com/html/?q=%E5%B9%BF%E5%B7%9E%E5%B8%82%E7%AC%AC%E4%B8%80%E4%BA%BA%E6%B0%91%E5%8C%BB%E9%99%A2%20%E5%AE%98%E6%96%B9%E7%BD%91%E7%AB%99%20%E5%AE%98%E7%BD%91,入口锚文本：主任医师 古维立 擅长：从事临床肝胆胰外科工作37年，擅长肝脏肿瘤、胆道肿瘤、胰腺肿瘤的精准治疗，尤其对胆道良性疾病有丰富的临床经验，2015年获首届“羊城好医生”称号，2019年获岭南名医；任首届广州市医学会加速康复外科主任委员。,人工打开医生入口，确认是否覆盖全院,,,2026-08-09
46,1,广州市,荔湾区,广州市第一人民医院鹤洞分院,广州市第一人民医院消化疾病中心,三级甲等,专科医院,,,,,,,D-待人工补官网,未找到-待人工补充,未找到,广州市第一人民医院鹤洞分院 官方网站 官网 / 广州市第一人民医院鹤洞分院 官网 医生 专家 科室,,院区/分院条目需确认是否独立采集,人工补充官网首页,,,2026-08-09
47,1,广州市,海珠区,广州市红十字会医院,暨南大学医学院第四附属医院,三级甲等,综合医院,,,,,,,D-待人工补官网,未找到-待人工补充,未找到,广州市红十字会医院 官方网站 官网 / 广州市红十字会医院 官网 医生 专家 科室,,,人工补充官网首页,,,2026-08-09
48,1,广州市,海珠区,广州市红十字会医院昌岗分院,广州市红十字会医院昌岗分院,三级甲等,综合医院,,,,,,,D-待人工补官网,未找到-待人工补充,未找到,广州市红十字会医院昌岗分院 官方网站 官网 / 广州市红十字会医院昌岗分院 官网 医生 专家 科室,,院区/分院条目需确认是否独立采集,人工补充官网首页,,,2026-08-09
